"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H4","All","29","All countries  All --- All  ","All","All countries  All --- All  ",2019,"Export",6,403096734.891
"H4","All","29","All countries  All --- All  ","All","All countries  All --- All  ",2019,"Import",5,436078576.09
"H4","All","29","All countries  All --- All  ","All","All countries  All --- All  ",2020,"Export",6,377079364.664
"H4","All","29","All countries  All --- All  ","All","All countries  All --- All  ",2020,"Import",5,405883783.763
"H4","All","29","All countries  All --- All  ","All","All countries  All --- All  ",2021,"Export",6,469725565.86
"H4","All","29","All countries  All --- All  ","All","All countries  All --- All  ",2021,"Import",5,517796850.474
"H4","All","29","All countries  All --- All  ","All","All countries  All --- All  ",2022,"Export",6,518031328.605
"H4","All","29","All countries  All --- All  ","All","All countries  All --- All  ",2022,"Import",5,589215436.062
"H4","All","29","All countries  All --- All  ","All","All countries  All --- All  ",2023,"Export",6,466359849.567
"H4","All","29","All countries  All --- All  ","All","All countries  All --- All  ",2023,"Import",5,508137957.979
"H4","All","29","All countries  All --- All  ","All","All countries  All --- All  ",2024,"Export",6,460405486.079
"H4","All","29","All countries  All --- All  ","All","All countries  All --- All  ",2024,"Import",5,484561167.874
"H4","All","29","All countries  All --- All  ","All","All countries  All --- All  ",2025,"Export",6,141199467.723
"H4","All","29","All countries  All --- All  ","All","All countries  All --- All  ",2025,"Import",5,268435999.571
"H4","All","29","All countries  All --- All  ","WLD"," World",2014,"Export",6,404822106.692
"H4","All","29","All countries  All --- All  ","WLD"," World",2014,"Import",5,438597807.901
"H4","All","29","All countries  All --- All  ","WLD"," World",2015,"Export",6,339157439.426
"H4","All","29","All countries  All --- All  ","WLD"," World",2015,"Import",5,374758871.475
"H4","All","29","All countries  All --- All  ","WLD"," World",2016,"Export",6,332698365.425
"H4","All","29","All countries  All --- All  ","WLD"," World",2016,"Import",5,362153734.54
"H4","All","29","All countries  All --- All  ","WLD"," World",2017,"Export",6,369215129.808
"H4","All","29","All countries  All --- All  ","WLD"," World",2017,"Import",5,405473794.969
"H4","All","29","All countries  All --- All  ","WLD"," World",2018,"Export",6,431186113.296
"H4","All","29","All countries  All --- All  ","WLD"," World",2018,"Import",5,474633911.148
"H4","All","29","All countries  All --- All  ","WLD"," World",2019,"Export",6,403096734.874
"H4","All","29","All countries  All --- All  ","WLD"," World",2019,"Import",5,436078576.146
"H4","All","29","All countries  All --- All  ","WLD"," World",2020,"Export",6,377079364.688
"H4","All","29","All countries  All --- All  ","WLD"," World",2020,"Import",5,405883783.752
"H4","All","29","All countries  All --- All  ","WLD"," World",2021,"Export",6,469725565.865
"H4","All","29","All countries  All --- All  ","WLD"," World",2021,"Import",5,517796780.874
"H4","All","29","All countries  All --- All  ","WLD"," World",2022,"Export",6,518031328.628
"H4","All","29","All countries  All --- All  ","WLD"," World",2022,"Import",5,589215436.081
"H4","All","29","All countries  All --- All  ","WLD"," World",2023,"Export",6,466359849.584
